run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
311,1,3,0.000148158949266,5000,0.0117319381007,na,0.00992091248391,ins,1,sel,86765.5679226,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,32
311,1,3,0.000135020649229,na,na,0,0,ins,1,neu,86765.5679226,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,32
134,1,3,0.000212204875239,na,na,0,0.0136235755899,del,1,neu,86751.6986654,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,41
134,1,3,0.000211088485599,118.527050736,0.0983034189,na,0.027359549929,del,1,sel,86751.6986654,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,41
134,1,3,0.000139740120768,205.484102566,0.0114094960708,na,0.00546353161123,ins,1,sel,86751.6986654,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,41
134,1,3,0.000135232209025,na,na,0,0,ins,1,neu,86751.6986654,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,41
274,1,3,0.000230496273216,727.462396748,0.0786652011572,na,0.0206469895349,del,1,sel,86750.2907737,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,33
274,1,3,0.000211309250809,na,na,0,0.0138575577718,del,1,neu,86750.2907737,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,33
274,1,3,0.000134577825801,na,na,0,0,ins,1,neu,86750.2907737,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,33
274,1,3,0.000134099694058,0.1,0.001,na,0.0625412401997,ins,1,sel,86750.2907737,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,33
451,1,3,0.000265213664279,96.6464095399,0.19185992539,na,0.0340312092861,del,1,sel,86721.953993,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,42
451,1,3,0.000212242549787,na,na,0,0.0134606660597,del,1,neu,86721.953993,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,42
451,1,3,0.000163944194035,134.676480733,0.116341113201,na,0.0331954206458,ins,1,sel,86721.953993,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,42
451,1,3,0.000135312368307,na,na,0,0,ins,1,neu,86721.953993,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,42
62,1,3,0.000286302217698,95.6977630145,0.266525172996,na,0.0120949107027,del,1,sel,86698.1077782,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,45
62,1,3,0.000212554322364,na,na,0,0.0134980830426,del,1,neu,86698.1077782,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,45
62,1,3,0.000169783972715,145.752990587,0.0876165620163,na,0.0569566825353,ins,1,sel,86698.1077782,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,45
62,1,3,0.000135497752633,na,na,0,0,ins,1,neu,86698.1077782,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,45
467,1,3,0.000234015079796,111.586842291,0.116741485024,na,0.0358921488729,del,1,sel,86669.3021496,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,46
467,1,3,0.000212145736463,na,na,0,0.0134989777105,del,1,neu,86669.3021496,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,46
467,1,3,0.000146419869328,120.639762665,0.0629013966552,na,0.00596048465086,ins,1,sel,86669.3021496,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,46
467,1,3,0.000135237211974,na,na,0,0,ins,1,neu,86669.3021496,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,46
38,1,3,0.000212186567613,6.41790989864,0.458698423354,na,0.0276569771315,del,1,sel,86664.8776916,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,30
